"implementation_identifier","target_frequency_mhz","target_period_ns","applied_period_ns","repetition_number","implementation_strategy","synthesis_directive","opt_directive","place_directive","route_directive","deterministic_repetition","seed_applied","vivado_version","fpga_part","top_module","clock_name","synthesis_success","synthesis_wns_ns","implementation_success","placement_success","routing_success","post_route_setup_wns_ns","setup_tns_ns","failing_setup_endpoints","post_route_hold_wns_ns","hold_tns_ns","failing_hold_endpoints","critical_path_data_delay_ns","critical_path_logic_delay_ns","critical_path_routing_delay_ns","logic_levels","critical_path_startpoint","critical_path_endpoint","lut_count","ff_count","dsp_count","bram_tiles","bitstream_status","run_directory","timing_report_path","critical_path_report_path","flow_error","estimated_routed_fmax_mhz","vivado_exit_code"
"default_f_104p000_rep_1","104","9.615384615385","9.615","1","default","Default","Default","Default","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.580","true","true","true","0.062","0.000","0","0.055","0.000","0","9.559","5.574","3.985","16","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/redirect_pending_target_reg[30]/D","1457","1507","1","1","passed","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_1","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_1/timing/post_route_timing_summary.rpt","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_1/timing/post_route_worst_setup_paths.rpt","","104.679","0"
"default_f_104p000_rep_2","104","9.615384615385","9.615","2","default","Default","Default","Default","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.580","true","true","true","0.062","0.000","0","0.055","0.000","0","9.559","5.574","3.985","16","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/redirect_pending_target_reg[30]/D","1457","1507","1","1","passed","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_2","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_2/timing/post_route_timing_summary.rpt","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_2/timing/post_route_worst_setup_paths.rpt","","104.679","0"
"default_f_104p000_rep_3","104","9.615384615385","9.615","3","default","Default","Default","Default","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.580","true","true","true","0.062","0.000","0","0.055","0.000","0","9.559","5.574","3.985","16","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/redirect_pending_target_reg[30]/D","1457","1507","1","1","passed","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_3","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_3/timing/post_route_timing_summary.rpt","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_3/timing/post_route_worst_setup_paths.rpt","","104.679","0"
"default_f_104p000_rep_4","104","9.615384615385","9.615","4","default","Default","Default","Default","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.580","true","true","true","0.062","0.000","0","0.055","0.000","0","9.559","5.574","3.985","16","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/redirect_pending_target_reg[30]/D","1457","1507","1","1","passed","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_4","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_4/timing/post_route_timing_summary.rpt","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_4/timing/post_route_worst_setup_paths.rpt","","104.679","0"
"default_f_104p000_rep_5","104","9.615384615385","9.615","5","default","Default","Default","Default","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.580","true","true","true","0.062","0.000","0","0.055","0.000","0","9.559","5.574","3.985","16","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/redirect_pending_target_reg[30]/D","1457","1507","1","1","passed","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_5","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_5/timing/post_route_timing_summary.rpt","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_104p000_rep_5/timing/post_route_worst_setup_paths.rpt","","104.679","0"
"default_f_105p000_rep_1","105","9.523809523810","9.524","1","default","Default","Default","Default","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.670","true","true","true","-0.148","-0.640","12","0.139","0.000","0","9.583","6.667","2.916","4","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/ex_mem_reg_reg[alu_result][25]/D","1457","1507","1","1","passed","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_1","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_1/timing/post_route_timing_summary.rpt","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_1/timing/post_route_worst_setup_paths.rpt","","","0"
"default_f_105p000_rep_2","105","9.523809523810","9.524","2","default","Default","Default","Default","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.670","true","true","true","-0.148","-0.640","12","0.139","0.000","0","9.583","6.667","2.916","4","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/ex_mem_reg_reg[alu_result][25]/D","1457","1507","1","1","passed","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_2","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_2/timing/post_route_timing_summary.rpt","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_2/timing/post_route_worst_setup_paths.rpt","","","0"
"default_f_105p000_rep_3","105","9.523809523810","9.524","3","default","Default","Default","Default","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.670","true","true","true","-0.148","-0.640","12","0.139","0.000","0","9.583","6.667","2.916","4","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/ex_mem_reg_reg[alu_result][25]/D","1457","1507","1","1","passed","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_3","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_3/timing/post_route_timing_summary.rpt","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_3/timing/post_route_worst_setup_paths.rpt","","","0"
"default_f_105p000_rep_4","105","9.523809523810","9.524","4","default","Default","Default","Default","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.670","true","true","true","-0.148","-0.640","12","0.139","0.000","0","9.583","6.667","2.916","4","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/ex_mem_reg_reg[alu_result][25]/D","1457","1507","1","1","passed","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_4","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_4/timing/post_route_timing_summary.rpt","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_4/timing/post_route_worst_setup_paths.rpt","","","0"
"default_f_105p000_rep_5","105","9.523809523810","9.524","5","default","Default","Default","Default","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.670","true","true","true","-0.148","-0.640","12","0.139","0.000","0","9.583","6.667","2.916","4","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/ex_mem_reg_reg[alu_result][25]/D","1457","1507","1","1","passed","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_5","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_5/timing/post_route_timing_summary.rpt","reports/ai_mac8_boundary_sweep/runs/sweep_20260806_122336/default_f_105p000_rep_5/timing/post_route_worst_setup_paths.rpt","","","0"
