"target_frequency_mhz","target_period_ns","applied_period_ns","implementation_seed","seed_applied","vivado_version","fpga_part","top_module","clock_name","synthesis_success","synthesis_wns_ns","implementation_success","placement_success","routing_success","post_route_setup_wns_ns","post_route_hold_wns_ns","setup_tns_ns","hold_tns_ns","failing_setup_endpoints","failing_hold_endpoints","critical_path_data_delay_ns","critical_path_logic_delay_ns","critical_path_routing_delay_ns","logic_levels","critical_path_startpoint","critical_path_endpoint","lut_count","ff_count","dsp_count","bram_tiles","bitstream_status","run_directory","timing_report_path","critical_path_report_path","flow_error","vivado_exit_code","estimated_routed_fmax_mhz"
"100","10.000000000000","10.000","1","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.194","true","true","true","0.198","0.035","0.000","0.000","0","0","9.721","6.667","3.054","4","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/ex_mem_reg_reg[alu_result][24]/D","1457","1507","1","1","passed","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_201114/f_100p000_seed_1","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_201114/f_100p000_seed_1/timing/post_route_timing_summary.rpt","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_201114/f_100p000_seed_1/timing/post_route_worst_setup_paths.rpt","","0","102.020"
"100","10.000000000000","10.000","2","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.194","true","true","true","0.198","0.035","0.000","0.000","0","0","9.721","6.667","3.054","4","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/ex_mem_reg_reg[alu_result][24]/D","1457","1507","1","1","passed","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_100p000_seed_2","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_100p000_seed_2/timing/post_route_timing_summary.rpt","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_100p000_seed_2/timing/post_route_worst_setup_paths.rpt","","0","102.020"
"100","10.000000000000","10.000","3","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.194","true","true","true","0.198","0.035","0.000","0.000","0","0","9.721","6.667","3.054","4","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/ex_mem_reg_reg[alu_result][24]/D","1457","1507","1","1","passed","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_100p000_seed_3","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_100p000_seed_3/timing/post_route_timing_summary.rpt","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_100p000_seed_3/timing/post_route_worst_setup_paths.rpt","","0","102.020"
"102","9.803921568627","9.804","1","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.390","true","true","true","0.071","0.037","0.000","0.000","0","0","9.625","4.917","4.708","6","cpu_inst/ex_mem_reg_reg[rd][0]/C","cpu_inst/ex_mem_reg_reg[alu_result][21]/D","1456","1507","1","1","passed","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_201114/f_102p000_seed_1","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_201114/f_102p000_seed_1/timing/post_route_timing_summary.rpt","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_201114/f_102p000_seed_1/timing/post_route_worst_setup_paths.rpt","","0","102.743"
"104","9.615384615385","9.615","1","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.580","true","true","true","0.062","0.055","0.000","0.000","0","0","9.559","5.574","3.985","16","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/redirect_pending_target_reg[30]/D","1457","1507","1","1","passed","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_201114/f_104p000_seed_1","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_201114/f_104p000_seed_1/timing/post_route_timing_summary.rpt","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_201114/f_104p000_seed_1/timing/post_route_worst_setup_paths.rpt","","0","104.679"
"104","9.615384615385","9.615","2","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.580","true","true","true","0.062","0.055","0.000","0.000","0","0","9.559","5.574","3.985","16","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/redirect_pending_target_reg[30]/D","1457","1507","1","1","passed","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_104p000_seed_2","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_104p000_seed_2/timing/post_route_timing_summary.rpt","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_104p000_seed_2/timing/post_route_worst_setup_paths.rpt","","0","104.679"
"104","9.615384615385","9.615","3","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.580","true","true","true","0.062","0.055","0.000","0.000","0","0","9.559","5.574","3.985","16","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/redirect_pending_target_reg[30]/D","1457","1507","1","1","passed","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_104p000_seed_3","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_104p000_seed_3/timing/post_route_timing_summary.rpt","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_104p000_seed_3/timing/post_route_worst_setup_paths.rpt","","0","104.679"
"106","9.433962264151","9.434","1","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.760","true","true","true","-0.081","0.033","-0.815","0.000","13","0","9.294","4.146","5.148","8","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/fetch_buffer_instruction_reg[27]/CE","1457","1507","1","1","passed","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205224/f_106p000_seed_1","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205224/f_106p000_seed_1/timing/post_route_timing_summary.rpt","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205224/f_106p000_seed_1/timing/post_route_worst_setup_paths.rpt","","0","105.097"
"106","9.433962264151","9.434","2","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.760","true","true","true","-0.081","0.033","-0.815","0.000","13","0","9.294","4.146","5.148","8","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/fetch_buffer_instruction_reg[27]/CE","1457","1507","1","1","passed","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_106p000_seed_2","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_106p000_seed_2/timing/post_route_timing_summary.rpt","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_106p000_seed_2/timing/post_route_worst_setup_paths.rpt","","0","105.097"
"106","9.433962264151","9.434","3","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_mac8_timingopt","sys_clk_pin","true","-0.760","true","true","true","-0.081","0.033","-0.815","0.000","13","0","9.294","4.146","5.148","8","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/fetch_buffer_instruction_reg[27]/CE","1457","1507","1","1","passed","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_106p000_seed_3","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_106p000_seed_3/timing/post_route_timing_summary.rpt","reports/ai_mac8_validonly_fmax/runs/sweep_20260805_205755/f_106p000_seed_3/timing/post_route_worst_setup_paths.rpt","","0","105.097"
