"target_frequency_mhz","target_period_ns","applied_period_ns","implementation_seed","seed_applied","vivado_version","fpga_part","top_module","clock_name","synthesis_success","synthesis_wns_ns","implementation_success","placement_success","routing_success","post_route_setup_wns_ns","post_route_hold_wns_ns","setup_tns_ns","hold_tns_ns","failing_setup_endpoints","failing_hold_endpoints","critical_path_data_delay_ns","critical_path_logic_delay_ns","critical_path_routing_delay_ns","logic_levels","critical_path_startpoint","critical_path_endpoint","lut_count","ff_count","dsp_count","bram_tiles","bitstream_status","run_directory","timing_report_path","critical_path_report_path","flow_error","vivado_exit_code","estimated_routed_fmax_mhz"
"95","10.526315789474","10.526","1","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline","sys_clk_pin","true","-0.297","true","true","true","0.121","0.058","0.000","0.000","0","0","9.830","4.082","5.748","8","cpu_inst/data_mem_inst/mem_reg/CLKBWRCLK","cpu_inst/if_id_reg_reg[pc][21]/R","1454","1507","1","1","passed","reports/ai_mac_fmax_sweep/runs/sweep_20260805_142315/f_95p000_seed_1","reports/ai_mac_fmax_sweep/runs/sweep_20260805_142315/f_95p000_seed_1/timing/post_route_timing_summary.rpt","reports/ai_mac_fmax_sweep/runs/sweep_20260805_142315/f_95p000_seed_1/timing/post_route_worst_setup_paths.rpt","","0","96.108"
"100","10.000000000000","10.000","1","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline","sys_clk_pin","true","-0.819","true","true","true","0.031","0.040","0.000","0.000","0","0","9.339","4.113","5.226","9","cpu_inst/data_mem_inst/mem_reg/CLKBWRCLK","cpu_inst/fetch_buffer_instruction_reg[15]/R","1454","1507","1","1","passed","reports/ai_mac_fmax_sweep/runs/sweep_20260805_142315/f_100p000_seed_1","reports/ai_mac_fmax_sweep/runs/sweep_20260805_142315/f_100p000_seed_1/timing/post_route_timing_summary.rpt","reports/ai_mac_fmax_sweep/runs/sweep_20260805_142315/f_100p000_seed_1/timing/post_route_worst_setup_paths.rpt","","0","100.311"
"100","10.000000000000","10.000","2","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline","sys_clk_pin","true","-0.819","true","true","true","0.031","0.040","0.000","0.000","0","0","9.339","4.113","5.226","9","cpu_inst/data_mem_inst/mem_reg/CLKBWRCLK","cpu_inst/fetch_buffer_instruction_reg[15]/R","1454","1507","1","1","passed","reports/ai_mac_fmax_sweep/runs/sweep_parallel_20260805_145121/f_100p000_seed_2","reports/ai_mac_fmax_sweep/runs/sweep_parallel_20260805_145121/f_100p000_seed_2/timing/post_route_timing_summary.rpt","reports/ai_mac_fmax_sweep/runs/sweep_parallel_20260805_145121/f_100p000_seed_2/timing/post_route_worst_setup_paths.rpt","","0","100.311"
"100","10.000000000000","10.000","3","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline","sys_clk_pin","true","-0.819","true","true","true","0.031","0.040","0.000","0.000","0","0","9.339","4.113","5.226","9","cpu_inst/data_mem_inst/mem_reg/CLKBWRCLK","cpu_inst/fetch_buffer_instruction_reg[15]/R","1454","1507","1","1","passed","reports/ai_mac_fmax_sweep/runs/sweep_parallel_20260805_145121/f_100p000_seed_3","reports/ai_mac_fmax_sweep/runs/sweep_parallel_20260805_145121/f_100p000_seed_3/timing/post_route_timing_summary.rpt","reports/ai_mac_fmax_sweep/runs/sweep_parallel_20260805_145121/f_100p000_seed_3/timing/post_route_worst_setup_paths.rpt","","0","100.311"
"100","10.000000000000","10.000","4","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline","sys_clk_pin","true","-0.819","true","true","true","0.031","0.040","0.000","0.000","0","0","9.339","4.113","5.226","9","cpu_inst/data_mem_inst/mem_reg/CLKBWRCLK","cpu_inst/fetch_buffer_instruction_reg[15]/R","1454","1507","1","1","passed","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_100p000_seed_4","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_100p000_seed_4/timing/post_route_timing_summary.rpt","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_100p000_seed_4/timing/post_route_worst_setup_paths.rpt","","0","100.311"
"100","10.000000000000","10.000","5","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline","sys_clk_pin","true","-0.819","true","true","true","0.031","0.040","0.000","0.000","0","0","9.339","4.113","5.226","9","cpu_inst/data_mem_inst/mem_reg/CLKBWRCLK","cpu_inst/fetch_buffer_instruction_reg[15]/R","1454","1507","1","1","passed","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_100p000_seed_5","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_100p000_seed_5/timing/post_route_timing_summary.rpt","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_100p000_seed_5/timing/post_route_worst_setup_paths.rpt","","0","100.311"
"102","9.803921568627","9.804","1","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline","sys_clk_pin","true","-1.015","true","true","true","-0.074","0.057","-1.131","0.000","36","0","9.401","4.270","5.131","9","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/if_id_reg_reg[pc][17]/R","1455","1507","1","1","passed","reports/ai_mac_fmax_sweep/runs/sweep_20260805_142315/f_102p000_seed_1","reports/ai_mac_fmax_sweep/runs/sweep_20260805_142315/f_102p000_seed_1/timing/post_route_timing_summary.rpt","reports/ai_mac_fmax_sweep/runs/sweep_20260805_142315/f_102p000_seed_1/timing/post_route_worst_setup_paths.rpt","","0","101.235"
"102","9.803921568627","9.804","2","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline","sys_clk_pin","true","-1.015","true","true","true","-0.074","0.057","-1.131","0.000","36","0","9.401","4.270","5.131","9","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/if_id_reg_reg[pc][17]/R","1455","1507","1","1","passed","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_102p000_seed_2","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_102p000_seed_2/timing/post_route_timing_summary.rpt","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_102p000_seed_2/timing/post_route_worst_setup_paths.rpt","","0","101.235"
"102","9.803921568627","9.804","3","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline","sys_clk_pin","true","-1.015","true","true","true","-0.074","0.057","-1.131","0.000","36","0","9.401","4.270","5.131","9","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/if_id_reg_reg[pc][17]/R","1455","1507","1","1","passed","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_102p000_seed_3","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_102p000_seed_3/timing/post_route_timing_summary.rpt","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_102p000_seed_3/timing/post_route_worst_setup_paths.rpt","","0","101.235"
"102","9.803921568627","9.804","4","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline","sys_clk_pin","true","-1.015","true","true","true","-0.074","0.057","-1.131","0.000","36","0","9.401","4.270","5.131","9","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/if_id_reg_reg[pc][17]/R","1455","1507","1","1","passed","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_102p000_seed_4","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_102p000_seed_4/timing/post_route_timing_summary.rpt","reports/ai_mac_fmax_sweep/runs/sweep_20260805_184156/f_102p000_seed_4/timing/post_route_worst_setup_paths.rpt","","0","101.235"
