Pattern: *dot_issue*
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][0] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][0]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][10] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][10]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][11] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][11]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][12] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][12]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][13] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][13]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][14] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][14]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][15] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][15]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][16] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][16]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][17] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][17]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][18] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][18]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][19] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][19]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][1] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][1]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][20] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][20]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][21] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][21]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][22] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][22]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][23] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][23]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][24] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][24]/Q
  cpu_inst/dot_issue_reg_reg[accumulator_n_0_][25] | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg_reg[accumulator][25]/Q
