"implementation_identifier","frequency_mhz","period_ns","applied_period_ns","run_id","flow","synthesis_directive","opt_directive","place_directive","phys_opt_directive","route_directive","deterministic_repetition","seed_applied","vivado_version","fpga_part","top_module","clock_name","clock_count","synthesis_success","synthesis_wns_ns","implementation_success","placement_success","routing_success","wns_ns","tns_ns","failing_setup_endpoints","worst_hold_slack_ns","hold_tns_ns","failing_hold_endpoints","pulse_width_wns_ns","pulse_width_tns_ns","failing_pulse_width_endpoints","critical_startpoint","critical_endpoint","critical_path_group","critical_data_delay_ns","critical_logic_delay_ns","critical_routing_delay_ns","critical_clock_uncertainty_ns","logic_levels","hold_startpoint","hold_endpoint","hold_path_group","lut","ff","ramb18","ramb36","dsp48","bufg","latches","bitstream_status","run_directory","timing_report_path","critical_path_report_path","hold_path_report_path","check_timing_report_path","methodology_report_path","clock_interaction_report_path","drc_report_path","flow_error","setup_pass","hold_pass","pulse_width_pass","overall_pass","estimated_routed_fmax_mhz","warning_count","critical_warning_count","error_count","critical_path_category","no_clock_pins","pulse_width_clock_pins","unconstrained_internal_endpoints","missing_input_delays","missing_output_delays","combinational_loops","latch_loops"
"default_f_98p000_rep_1","98","10.204081632653","10.204","1","default","Default","Default","Default","NotRun","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_dot4acc_wb","sys_clk_pin","1","true","-0.211","true","true","true","0.341","0.000","0","0.129","0.000","0","4.602","0.000","0","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/dot_chain_rd_reg_reg[0]/R","sys_clk_pin","9.296","4.261","5.035","0.035","9","cpu_inst/ex_mem_reg_reg[store_data][2]/C","cpu_inst/data_mem_inst/mem_reg/DIADI[2]","sys_clk_pin","1810","1705","2","0","5","1","0","passed","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_1","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_1/timing/post_route_timing_summary.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_1/timing/post_route_worst_setup_paths.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_1/timing/post_route_worst_hold_paths.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_1/methodology/check_timing.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_1/methodology/report_methodology.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_1/methodology/clock_interaction.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_1/methodology/post_route_drc.rpt","","true","true","true","true","101.389","11","0","0","LOAD writeback/forwarding -> branch redirect cancellation -> DOT chain-state reset","0","0","0","2","16","0","0"
"default_f_98p000_rep_2","98","10.204081632653","10.204","2","default","Default","Default","Default","NotRun","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_dot4acc_wb","sys_clk_pin","1","true","-0.211","true","true","true","0.341","0.000","0","0.129","0.000","0","4.602","0.000","0","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/dot_chain_rd_reg_reg[0]/R","sys_clk_pin","9.296","4.261","5.035","0.035","9","cpu_inst/ex_mem_reg_reg[store_data][2]/C","cpu_inst/data_mem_inst/mem_reg/DIADI[2]","sys_clk_pin","1810","1705","2","0","5","1","0","passed","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_2","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_2/timing/post_route_timing_summary.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_2/timing/post_route_worst_setup_paths.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_2/timing/post_route_worst_hold_paths.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_2/methodology/check_timing.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_2/methodology/report_methodology.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_2/methodology/clock_interaction.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_2/methodology/post_route_drc.rpt","","true","true","true","true","101.389","11","0","0","LOAD writeback/forwarding -> branch redirect cancellation -> DOT chain-state reset","0","0","0","2","16","0","0"
"default_f_98p000_rep_3","98","10.204081632653","10.204","3","default","Default","Default","Default","NotRun","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_dot4acc_wb","sys_clk_pin","1","true","-0.211","true","true","true","0.341","0.000","0","0.129","0.000","0","4.602","0.000","0","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/dot_chain_rd_reg_reg[0]/R","sys_clk_pin","9.296","4.261","5.035","0.035","9","cpu_inst/ex_mem_reg_reg[store_data][2]/C","cpu_inst/data_mem_inst/mem_reg/DIADI[2]","sys_clk_pin","1810","1705","2","0","5","1","0","passed","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_3","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_3/timing/post_route_timing_summary.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_3/timing/post_route_worst_setup_paths.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_3/timing/post_route_worst_hold_paths.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_3/methodology/check_timing.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_3/methodology/report_methodology.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_3/methodology/clock_interaction.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_3/methodology/post_route_drc.rpt","","true","true","true","true","101.389","11","0","0","LOAD writeback/forwarding -> branch redirect cancellation -> DOT chain-state reset","0","0","0","2","16","0","0"
"default_f_98p000_rep_4","98","10.204081632653","10.204","4","default","Default","Default","Default","NotRun","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_dot4acc_wb","sys_clk_pin","1","true","-0.211","true","true","true","0.341","0.000","0","0.129","0.000","0","4.602","0.000","0","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/dot_chain_rd_reg_reg[0]/R","sys_clk_pin","9.296","4.261","5.035","0.035","9","cpu_inst/ex_mem_reg_reg[store_data][2]/C","cpu_inst/data_mem_inst/mem_reg/DIADI[2]","sys_clk_pin","1810","1705","2","0","5","1","0","passed","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_4","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_4/timing/post_route_timing_summary.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_4/timing/post_route_worst_setup_paths.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_4/timing/post_route_worst_hold_paths.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_4/methodology/check_timing.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_4/methodology/report_methodology.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_4/methodology/clock_interaction.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_98p000_rep_4/methodology/post_route_drc.rpt","","true","true","true","true","101.389","11","0","0","LOAD writeback/forwarding -> branch redirect cancellation -> DOT chain-state reset","0","0","0","2","16","0","0"
"default_f_98p000_rep_5","98","10.204081632653","10.204","5","default","Default","Default","Default","NotRun","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_dot4acc_wb","sys_clk_pin","1","true","-0.211","true","true","true","0.341","0.000","0","0.129","0.000","0","4.602","0.000","0","cpu_inst/data_mem_inst/mem_reg/CLKARDCLK","cpu_inst/dot_chain_rd_reg_reg[0]/R","sys_clk_pin","9.296","4.261","5.035","0.035","9","cpu_inst/ex_mem_reg_reg[store_data][2]/C","cpu_inst/data_mem_inst/mem_reg/DIADI[2]","sys_clk_pin","1810","1705","2","0","5","1","0","passed","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_98p000_rep_5","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_98p000_rep_5/timing/post_route_timing_summary.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_98p000_rep_5/timing/post_route_worst_setup_paths.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_98p000_rep_5/timing/post_route_worst_hold_paths.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_98p000_rep_5/methodology/check_timing.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_98p000_rep_5/methodology/report_methodology.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_98p000_rep_5/methodology/clock_interaction.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_98p000_rep_5/methodology/post_route_drc.rpt","","true","true","true","true","101.389","11","0","0","LOAD writeback/forwarding -> branch redirect cancellation -> DOT chain-state reset","0","0","0","2","16","0","0"
"default_f_99p000_rep_1","99","10.101010101010","10.101","1","default","Default","Default","Default","NotRun","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_dot4acc_wb","sys_clk_pin","1","true","-0.314","true","true","true","-0.274","-11.476","109","0.037","0.000","0","4.550","0.000","0","cpu_inst/id_ex_reg_reg[rs2][2]/C","cpu_inst/fetch_pc_reg[5]/CE","sys_clk_pin","10.097","2.563","7.534","0.035","12","cpu_inst/ex_mem_reg_reg[store_data][23]/C","cpu_inst/data_mem_inst/mem_reg/DIBDI[5]","sys_clk_pin","1814","1705","2","0","5","1","0","passed","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_99p000_rep_1","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_99p000_rep_1/timing/post_route_timing_summary.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_99p000_rep_1/timing/post_route_worst_setup_paths.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_99p000_rep_1/timing/post_route_worst_hold_paths.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_99p000_rep_1/methodology/check_timing.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_99p000_rep_1/methodology/report_methodology.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_99p000_rep_1/methodology/clock_interaction.rpt","reports/dot4acc_stage_f/runs/sweep_20260807_141213/default_f_99p000_rep_1/methodology/post_route_drc.rpt","","false","true","true","false","96.386","12","0","0","DOT dependency and branch/redirect -> frontend clock-enable control","0","0","0","2","16","0","0"
"default_f_99p000_rep_2","99","10.101010101010","10.101","2","default","Default","Default","Default","NotRun","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_dot4acc_wb","sys_clk_pin","1","true","-0.314","true","true","true","-0.274","-11.476","109","0.037","0.000","0","4.550","0.000","0","cpu_inst/id_ex_reg_reg[rs2][2]/C","cpu_inst/fetch_pc_reg[5]/CE","sys_clk_pin","10.097","2.563","7.534","0.035","12","cpu_inst/ex_mem_reg_reg[store_data][23]/C","cpu_inst/data_mem_inst/mem_reg/DIBDI[5]","sys_clk_pin","1814","1705","2","0","5","1","0","passed","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_2","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_2/timing/post_route_timing_summary.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_2/timing/post_route_worst_setup_paths.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_2/timing/post_route_worst_hold_paths.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_2/methodology/check_timing.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_2/methodology/report_methodology.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_2/methodology/clock_interaction.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_2/methodology/post_route_drc.rpt","","false","true","true","false","96.386","12","0","0","DOT dependency and branch/redirect -> frontend clock-enable control","0","0","0","2","16","0","0"
"default_f_99p000_rep_3","99","10.101010101010","10.101","3","default","Default","Default","Default","NotRun","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_dot4acc_wb","sys_clk_pin","1","true","-0.314","true","true","true","-0.274","-11.476","109","0.037","0.000","0","4.550","0.000","0","cpu_inst/id_ex_reg_reg[rs2][2]/C","cpu_inst/fetch_pc_reg[5]/CE","sys_clk_pin","10.097","2.563","7.534","0.035","12","cpu_inst/ex_mem_reg_reg[store_data][23]/C","cpu_inst/data_mem_inst/mem_reg/DIBDI[5]","sys_clk_pin","1814","1705","2","0","5","1","0","passed","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_3","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_3/timing/post_route_timing_summary.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_3/timing/post_route_worst_setup_paths.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_3/timing/post_route_worst_hold_paths.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_3/methodology/check_timing.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_3/methodology/report_methodology.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_3/methodology/clock_interaction.rpt","reports/dot4acc_stage_f/runs/parallel_20260807/default_f_99p000_rep_3/methodology/post_route_drc.rpt","","false","true","true","false","96.386","12","0","0","DOT dependency and branch/redirect -> frontend clock-enable control","0","0","0","2","16","0","0"
"default_f_99p000_rep_4","99","10.101010101010","10.101","4","default","Default","Default","Default","NotRun","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_dot4acc_wb","sys_clk_pin","1","true","-0.314","true","true","true","-0.274","-11.476","109","0.037","0.000","0","4.550","0.000","0","cpu_inst/id_ex_reg_reg[rs2][2]/C","cpu_inst/fetch_pc_reg[5]/CE","sys_clk_pin","10.097","2.563","7.534","0.035","12","cpu_inst/ex_mem_reg_reg[store_data][23]/C","cpu_inst/data_mem_inst/mem_reg/DIBDI[5]","sys_clk_pin","1814","1705","2","0","5","1","0","passed","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_4","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_4/timing/post_route_timing_summary.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_4/timing/post_route_worst_setup_paths.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_4/timing/post_route_worst_hold_paths.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_4/methodology/check_timing.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_4/methodology/report_methodology.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_4/methodology/clock_interaction.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_4/methodology/post_route_drc.rpt","","false","true","true","false","96.386","12","0","0","DOT dependency and branch/redirect -> frontend clock-enable control","0","0","0","2","16","0","0"
"default_f_99p000_rep_5","99","10.101010101010","10.101","5","default","Default","Default","Default","NotRun","Default","true","false","2026.1","xc7a35tcpg236-1","fpga_top_pipeline_dot4acc_wb","sys_clk_pin","1","true","-0.314","true","true","true","-0.274","-11.476","109","0.037","0.000","0","4.550","0.000","0","cpu_inst/id_ex_reg_reg[rs2][2]/C","cpu_inst/fetch_pc_reg[5]/CE","sys_clk_pin","10.097","2.563","7.534","0.035","12","cpu_inst/ex_mem_reg_reg[store_data][23]/C","cpu_inst/data_mem_inst/mem_reg/DIBDI[5]","sys_clk_pin","1814","1705","2","0","5","1","0","passed","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_5","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_5/timing/post_route_timing_summary.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_5/timing/post_route_worst_setup_paths.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_5/timing/post_route_worst_hold_paths.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_5/methodology/check_timing.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_5/methodology/report_methodology.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_5/methodology/clock_interaction.rpt","reports/dot4acc_stage_f/runs/parallel_resume/default_f_99p000_rep_5/methodology/post_route_drc.rpt","","false","true","true","false","96.386","12","0","0","DOT dependency and branch/redirect -> frontend clock-enable control","0","0","0","2","16","0","0"
