Startpoint: cpu_inst/data_mem_inst/mem_reg/CLKARDCLK
Endpoint: cpu_inst/id_ex_reg_reg[operand_a][1]/R
Path group: sys_clk_pin
Clock: sys_clk_pin
Setup slack (ns): -0.623
Data path delay (ns): 9.989
Logic delay (ns): 4.633
Routing delay (ns): 5.356
Clock uncertainty (ns): 0.035
Logic levels: 12

Path pins, cells, placement and nets
cpu_inst/data_mem_inst/mem_reg/DOADO[2] | cell=cpu_inst/data_mem_inst/mem_reg | ref=RAMB18E1 | loc=RAMB18_X0Y2 | bel=RAMB18E1.RAMB18E1 | net=cpu_inst/data_mem_inst/read_data[2]
cpu_inst/data_mem_inst/deferred_load_data[2]_i_1/I0 | cell=cpu_inst/data_mem_inst/deferred_load_data[2]_i_1 | ref=LUT3 | loc=SLICE_X9Y5 | bel=SLICEL.B6LUT | net=cpu_inst/data_mem_inst/read_data[2]
cpu_inst/data_mem_inst/deferred_load_data[2]_i_1/O | cell=cpu_inst/data_mem_inst/deferred_load_data[2]_i_1 | ref=LUT3 | loc=SLICE_X9Y5 | bel=SLICEL.B6LUT | net=cpu_inst/data_mem_inst/data2[2]
cpu_inst/data_mem_inst/ex_alu_result0_i_6/I4 | cell=cpu_inst/data_mem_inst/ex_alu_result0_i_6 | ref=LUT5 | loc=SLICE_X9Y3 | bel=SLICEL.C6LUT | net=cpu_inst/data_mem_inst/data2[2]
cpu_inst/data_mem_inst/ex_alu_result0_i_6/O | cell=cpu_inst/data_mem_inst/ex_alu_result0_i_6 | ref=LUT5 | loc=SLICE_X9Y3 | bel=SLICEL.C6LUT | net=cpu_inst/data_mem_inst/A[2]
cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_38/I2 | cell=cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_38 | ref=LUT3 | loc=SLICE_X9Y1 | bel=SLICEL.A6LUT | net=cpu_inst/dot4acc_pipeline_inst/A[2]
cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_38/O | cell=cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_38 | ref=LUT3 | loc=SLICE_X9Y1 | bel=SLICEL.A6LUT | net=cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_38_n_0
cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_24/I1 | cell=cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_24 | ref=LUT6 | loc=SLICE_X9Y6 | bel=SLICEL.A6LUT | net=cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_38_n_0
cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_24/O | cell=cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_24 | ref=LUT6 | loc=SLICE_X9Y6 | bel=SLICEL.A6LUT | net=cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_24_n_0
cpu_inst/dot4acc_pipeline_inst/redirect_pending_target_reg[31]_i_16/S[0] | cell=cpu_inst/dot4acc_pipeline_inst/redirect_pending_target_reg[31]_i_16 | ref=CARRY4 | loc=SLICE_X9Y6 | bel=SLICEL.CARRY4 | net=cpu_inst/dot4acc_pipeline_inst/redirect_pending_target[31]_i_24_n_0
cpu_inst/dot4acc_pipeline_inst/redirect_pending_target_reg[31]_i_16/CO[3] | cell=cpu_inst/dot4acc_pipeline_inst/redirect_pending_target_reg[31]_i_16 | ref=CARRY4 | loc=SLICE_X9Y6 | bel=SLICEL.CARRY4 | net=cpu_inst/dot4acc_pipeline_inst/redirect_pending_target_reg[31]_i_16_n_0
