Startpoint: cpu_inst/data_mem_inst/mem_reg/CLKARDCLK
Endpoint: cpu_inst/id_ex_reg_reg[instruction][1]/R
Path group: sys_clk_pin
Clock: sys_clk_pin
Setup slack (ns): -0.920
Data path delay (ns): 10.276
Logic delay (ns): 4.633
Routing delay (ns): 5.643
Clock uncertainty (ns): 0.035
Logic levels: 12

Path pins, cells, placement and nets
cpu_inst/data_mem_inst/mem_reg/DOADO[0] | cell=cpu_inst/data_mem_inst/mem_reg | ref=RAMB18E1 | loc=RAMB18_X0Y2 | bel=RAMB18E1.RAMB18E1 | net=cpu_inst/data_mem_inst/read_data[0]
cpu_inst/data_mem_inst/deferred_load_data[0]_i_1/I0 | cell=cpu_inst/data_mem_inst/deferred_load_data[0]_i_1 | ref=LUT3 | loc=SLICE_X8Y5 | bel=SLICEM.B6LUT | net=cpu_inst/data_mem_inst/read_data[0]
cpu_inst/data_mem_inst/deferred_load_data[0]_i_1/O | cell=cpu_inst/data_mem_inst/deferred_load_data[0]_i_1 | ref=LUT3 | loc=SLICE_X8Y5 | bel=SLICEM.B6LUT | net=cpu_inst/data_mem_inst/data2[0]
cpu_inst/data_mem_inst/ex_alu_result0_i_8/I4 | cell=cpu_inst/data_mem_inst/ex_alu_result0_i_8 | ref=LUT5 | loc=SLICE_X9Y5 | bel=SLICEL.D6LUT | net=cpu_inst/data_mem_inst/data2[0]
cpu_inst/data_mem_inst/ex_alu_result0_i_8/O | cell=cpu_inst/data_mem_inst/ex_alu_result0_i_8 | ref=LUT5 | loc=SLICE_X9Y5 | bel=SLICEL.D6LUT | net=cpu_inst/data_mem_inst/A[0]
cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_154/I2 | cell=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_154 | ref=LUT3 | loc=SLICE_X8Y6 | bel=SLICEM.D6LUT | net=cpu_inst/dot4acc_pipeline_inst/A[0]
cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_154/O | cell=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_154 | ref=LUT3 | loc=SLICE_X8Y6 | bel=SLICEM.D6LUT | net=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_154_n_0
cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_135/I4 | cell=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_135 | ref=LUT6 | loc=SLICE_X11Y5 | bel=SLICEL.A6LUT | net=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_154_n_0
cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_135/O | cell=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_135 | ref=LUT6 | loc=SLICE_X11Y5 | bel=SLICEL.A6LUT | net=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_135_n_0
cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_127/S[0] | cell=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_127 | ref=CARRY4 | loc=SLICE_X11Y5 | bel=SLICEL.CARRY4 | net=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_135_n_0
cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_127/CO[3] | cell=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_127 | ref=CARRY4 | loc=SLICE_X11Y5 | bel=SLICEL.CARRY4 | net=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_127_n_0
cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_98/CI | cell=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_98 | ref=CARRY4 | loc=SLICE_X11Y6 | bel=SLICEL.CARRY4 | net=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_127_n_0
cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_98/CO[3] | cell=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_98 | ref=CARRY4 | loc=SLICE_X11Y6 | bel=SLICEL.CARRY4 | net=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_98_n_0
cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_53/CI | cell=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_53 | ref=CARRY4 | loc=SLICE_X11Y7 | bel=SLICEL.CARRY4 | net=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_98_n_0
cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_53/CO[2] | cell=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_53 | ref=CARRY4 | loc=SLICE_X11Y7 | bel=SLICEL.CARRY4 | net=cpu_inst/dot4acc_pipeline_inst/ex_branch_taken0
cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_6/I3 | cell=cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_6 | ref=LUT4 | loc=SLICE_X10Y7 | bel=SLICEM.C6LUT | net=cpu_inst/dot4acc_pipeline_inst/ex_branch_taken0
cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_6/O | cell=cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_6 | ref=LUT4 | loc=SLICE_X10Y7 | bel=SLICEM.C6LUT | net=cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_6_n_0
cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_9/I4 | cell=cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_9 | ref=LUT5 | loc=SLICE_X10Y11 | bel=SLICEM.C6LUT | net=cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_6_n_0
cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_9/O | cell=cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_9 | ref=LUT5 | loc=SLICE_X10Y11 | bel=SLICEM.C6LUT | net=cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_9_n_0
cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_8/I5 | cell=cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_8 | ref=LUT6 | loc=SLICE_X10Y11 | bel=SLICEM.B6LUT | net=cpu_inst/dot4acc_pipeline_inst/id_ex_reg[pc][31]_i_9_n_0
